PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2035409209,WIRING HARNESS,578604,1PV541,2.25,4.857,0.20787
A2035409210,WIRING HARNESS,92754,1PV541,2.25,0.104,0.126
A2035409213,WIRING HARNESS,29082,1PV541,2.25,0.179,0.0132
A2035409305,WIRING HARNESS,473916,1PV541,2.25,1.469,0.22
A2035409310,WIRING HARNESS,239808,1PV541,2.25,0.092,0.0338
A2035409313,WIRING HARNESS,36306,1PV541,2.25,0.224,0.01813
A2035409405,WIRING HARNESS,86274,1PV541,2.25,1.833,0.20254
A2035409406,WIRING HARNESS,5994,1PV541,2.25,0.043,0.005
A2035409407,WIRING HARNESS,469728,1PV541,2.25,3.7,0.15246
A2035409410,WIRING HARNESS,74448,1PV541,2.25,0.086,0.0512
A2035409413,WIRING HARNESS,29082,1PV541,2.25,0.246,0.01632
A2035409505,WIRING HARNESS,473916,1PV541,2.25,1.721,0.20349
A2035409506,WIRING HARNESS,5292,1PV541,2.25,0.053,0.00288
A2035409509,WIRING HARNESS,469728,1PV541,2.25,3.485,0.20787
A2035409510,WIRING HARNESS,74448,1PV541,2.25,0.097,0.126
A2035409513,WIRING HARNESS,33282,1PV541,2.25,1.024,0.045
A2035409534,WIRING HARNESS,336954,1PV541,2.25,3.97,0.17797
A2035409535,ELECTRIC LINE,341610,1PV541,2.25,4.01,0.16335
A2035409605,WIRING HARNESS,473916,1PV541,2.25,2.107,0.20304
A2035409608,WIRING HARNESS,67332,1PV541,2.25,0.603,0.03564
A2035409609,WIRING HARNESS,469728,1PV541,2.25,3.441,0.20254
A2035409635,ELECTRIC LINE,340158,1PV541,2.25,3.893,0.20787
A2035409709,WIRING HARNESS,515352,1PV541,2.25,3.857,0.20787
A2035409710,WIRING HARNESS,886656,1PV541,2.25,3.83,0.09248
A2035409732,ELECTRIC LINE,16506,1PV541,2.25,0.033,0.00171
A2035409734,WIRING HARNESS,282540,1PV541,2.25,3.678,0.17797
A2035409805,WIRING HARNESS,134712,1PV541,2.25,0.66,0.03885
A2035409806,WIRING HARNESS,10740,1PV541,2.25,0.05,0.00504
A2035409807,WIRING HARNESS,28224,1PV541,2.25,0.175,0.00304
